reviewer,initial_condition_family,seed,alpha,t,dt,t_next,nx,N,K0,qx,qy,R_hops,M_K,R_size,shadow_raw_dim,lowpass_density_raw_dim,target_E_HF_next
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",0,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0035732088448458105
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",0,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.0034775655807489955
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",0,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.0033639320483476428
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",0,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.0032760070022660216
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",1,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0033717240101061776
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",1,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.0032909586950184474
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",1,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.0031949209830631894
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",1,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.003120647553011771
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",2,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0034712697284745445
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",2,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.003409521403203104
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",2,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.0033342188934488205
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",2,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.0032738556837584964
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",3,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0028399999010980882
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",3,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.0027973203394569364
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",3,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.0027460210813571844
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",3,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.002706188024720509
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",4,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0040856999306162645
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",4,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.004010428458907882
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",4,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.0039180399597944894
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",4,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.003842904327848843
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",5,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.004228918399112877
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",5,0.2,0.2,0.2,0.4,4,16,4.0,1,0,1,49,3,588,256,0.004150972480015072
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",5,0.2,0.4,0.2,0.6000000000000001,4,16,4.0,1,0,1,49,3,588,256,0.004055364744532735
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",5,0.2,0.6,0.2,0.8,4,16,4.0,1,0,1,49,3,588,256,0.003977559287107928
oB6r,"Gaussian vortex family via cases.vortex_case(nx, seed)",6,0.2,0.0,0.2,0.2,4,16,4.0,1,0,1,49,3,588,256,0.0030649659990282883
