reviewer,split_id,train_size,test_size,feature_type,learner,feature_dim,test_mse
oB6r,0,16,80,Task-level low-pass density,PCA + Ridge,16,2.396009881411302e-07
oB6r,0,16,80,Shadow coherence Z,PCA + Ridge,16,2.1157389034012874e-07
oB6r,0,32,64,Task-level low-pass density,PCA + Ridge,16,2.1204190799568693e-07
oB6r,0,32,64,Shadow coherence Z,PCA + Ridge,16,1.4611237974894852e-07
oB6r,0,64,32,Task-level low-pass density,PCA + Ridge,16,2.360015396365507e-07
oB6r,0,64,32,Shadow coherence Z,PCA + Ridge,16,1.366228629629634e-07
oB6r,1,16,80,Task-level low-pass density,PCA + Ridge,16,2.3195056024179342e-07
oB6r,1,16,80,Shadow coherence Z,PCA + Ridge,16,1.937496356351685e-07
oB6r,1,32,64,Task-level low-pass density,PCA + Ridge,16,2.4587980060148216e-07
oB6r,1,32,64,Shadow coherence Z,PCA + Ridge,16,1.8315442712979413e-07
oB6r,1,64,32,Task-level low-pass density,PCA + Ridge,16,2.867960764558813e-07
oB6r,1,64,32,Shadow coherence Z,PCA + Ridge,16,1.6723791020387334e-07
oB6r,2,16,80,Task-level low-pass density,PCA + Ridge,16,2.392240097556527e-07
oB6r,2,16,80,Shadow coherence Z,PCA + Ridge,16,1.993350131010592e-07
oB6r,2,32,64,Task-level low-pass density,PCA + Ridge,16,2.36951526539925e-07
oB6r,2,32,64,Shadow coherence Z,PCA + Ridge,16,1.738321386483417e-07
oB6r,2,64,32,Task-level low-pass density,PCA + Ridge,16,2.562861471024078e-07
oB6r,2,64,32,Shadow coherence Z,PCA + Ridge,16,1.4899167175844845e-07
